"sei","rank","number"
"岩見","1283位",3376
"猪俣","1284位",3373
"大泉","1285位",3368
"脇","1286位",3367
"日向","1287位",3361
"荒谷","1288位",3356
"早田","1289位",3353
"笹本","1290位",3351
"柳沼","1290位",3351
"猪狩","1292位",3344
"熊本","1293位",3338
"上島","1293位",3338
"岩野","1295位",3336
"高久","1295位",3336
"時田","1295位",3336
"添田","1298位",3328
"桐山","1299位",3327
"須貝","1300位",3325
"柴","1301位",3324
"上西","1301位",3324
"上林","1303位",3322
"田嶋","1304位",3319
"飯沼","1305位",3312
"清家","1306位",3309
"五島","1307位",3303
"新藤","1308位",3300
"安本","1309位",3299
"長","1310位",3287
"土岐","1311位",3278
"藤","1311位",3278
"松坂","1313位",3276
"藤江","1314位",3274
"名取","1314位",3274
"半沢","1316位",3272
"鬼塚","1317位",3267
"沢口","1318位",3264
"長内","1318位",3264
"直井","1320位",3261
"平島","1321位",3258
"副島","1322位",3252
"深見","1323位",3246
"安江","1324位",3243
"関川","1325位",3242
"梶谷","1326位",3234
"大賀","1327位",3233
"仲宗根","1328位",3230
"新","1329位",3227
"春田","1330位",3225
"新美","1330位",3225
"広沢","1332位",3224
"山地","1332位",3224
"谷岡","1334位",3217
"秋吉","1335位",3213
"海老沢","1336位",3211
"竹井","1337位",3209
"萩野","1338位",3206
"上地","1339位",3203
"安倍","1340位",3199
"平木","1340位",3199
"竹谷","1342位",3197
"湯沢","1342位",3197
"大河内","1344位",3189
"鷲見","1345位",3187
"東田","1346位",3169
"石上","1347位",3166
"平岩","1347位",3166
"脇坂","1349位",3163
"赤間","1350位",3160
"瀬戸口","1351位",3146
"水越","1352位",3143
"塩原","1353位",3141
"宮武","1354位",3140
"一ノ瀬","1355位",3131
"大本","1355位",3131
"市橋","1357位",3126
"神尾","1358位",3125
"崎山","1359位",3119
"川尻","1360位",3117
"長嶺","1361位",3099
"近江","1362位",3094
"有本","1362位",3094
"二階堂","1364位",3089
"宗像","1365位",3088
"竹川","1366位",3085
"越川","1367位",3079
"高石","1367位",3079
"星川","1369位",3078
"石津","1369位",3078
"園部","1371位",3077
"照屋","1372位",3072
"杉谷","1373位",3070
"佐原","1374位",3069
"池野","1375位",3067
"守田","1376位",3062
"成沢","1377位",3059
"横溝","1378位",3055
"元木","1379位",3043
"藤枝","1380位",3037
"猿渡","1381位",3036
"田坂","1382位",3029
"坪内","1383位",3026
"小松崎","1384位",3023
"赤石","1384位",3023
"奥谷","1386位",3013
"菊川","1387位",3006
"大岡","1387位",3006
"長江","1389位",3003
"友田","1389位",3003
"中園","1391位",3002
"吉松","1392位",2999
"大堀","1393位",2996
"大須賀","1394位",2995
"宮尾","1395位",2993
"堀尾","1396位",2990
"姫野","1397位",2989
"井坂","1398位",2988
"有川","1399位",2987
"曽我部","1400位",2985
"小田切","1400位",2985
"須崎","1402位",2976
"川北","1402位",2976
"横内","1404位",2968
"片平","1404位",2968
"船津","1406位",2964
"真下","1407位",2963
"米川","1407位",2963
"小塚","1409位",2962
"蛭田","1409位",2962
"赤尾","1411位",2956
"鳥羽","1412位",2954
"亀谷","1413位",2952
"吉成","1414位",2942
"日置","1415位",2941
"新居","1416位",2932
"佐田","1417位",2926
"濱田","1418位",2925
"多賀","1419位",2916
"鳥海","1420位",2912
"若月","1421位",2909
"梶川","1422位",2908
"大門","1423位",2907
"有吉","1424位",2904
"春山","1425位",2894
"磯","1425位",2894
"新里","1427位",2892
"堀部","1428位",2891
"東海林","1429位",2887
"綿貫","1430位",2884
"沖野","1431位",2878
"武石","1432位",2877
"橋田","1433位",2873
"辻野","1433位",2873
"吉良","1435位",2872
"辰巳","1436位",2865
"巽","1437位",2861
"江本","1438位",2860
"奥原","1439位",2855
"田丸","1439位",2855
"高垣","1441位",2847
"北口","1441位",2847
"井関","1443位",2844
"大脇","1443位",2844
"中込","1445位",2842
"大澤","1446位",2840
"磯村","1447位",2837
"前沢","1448位",2836
"八島","1449位",2835
"田井","1450位",2834
"犬塚","1451位",2833
"八重樫","1452位",2830
"柴原","1453位",2828
"大里","1454位",2820
"舟橋","1455位",2817
"原島","1456位",2816
"佐山","1457位",2814
"今岡","1458位",2802
"須山","1459位",2800
"一戸","1460位",2797
"武山","1461位",2793
"片倉","1461位",2793
"福嶋","1463位",2791
"矢作","1464位",2789
"坂根","1465位",2788
"岸野","1466位",2787
"前山","1467位",2786
"池永","1468位",2785
"作田","1469位",2780
"高宮","1470位",2779
"河辺","1471位",2774
"中江","1472位",2773
"鍋島","1472位",2773
"江上","1474位",2770
"辻田","1475位",2765
"寺山","1476位",2763
"古野","1477位",2762
"伊原","1478位",2760
"金川","1478位",2760
"新城","1478位",2760
"兼子","1481位",2759
"若井","1482位",2758
"朝日","1483位",2756
"馬渕","1483位",2756
"北浦","1485位",2754
"戸谷","1486位",2753
"野坂","1486位",2753
"牟田","1488位",2752
"宮嶋","1489位",2751
"浅利","1490位",2749
"間瀬","1491位",2743
"高畠","1492位",2740
"芦沢","1493位",2738
"城間","1494位",2734
"河津","1495位",2729
"広野","1496位",2727
"高城","1497位",2723
"横沢","1498位",2719
"末次","1499位",2718
"景山","1499位",2718
"笹田","1501位",2715
"永吉","1502位",2713
"田山","1503位",2711
"梅野","1503位",2711
"黒須","1505位",2710
"末松","1505位",2710
"曾根","1507位",2703
"笹岡","1508位",2702
"永岡","1509位",2699
"小松原","1509位",2699
"小田原","1511位",2694
"設楽","1512位",2693
"藤倉","1512位",2693
"泉谷","1514位",2686
"下平","1515位",2684
"湯田","1515位",2684
"木山","1517位",2683
"船山","1518位",2682
"細見","1519位",2681
"国本","1520位",2680
"江尻","1521位",2679
"藤間","1521位",2679
"中崎","1523位",2678
"岩倉","1524位",2676
"錦織","1525位",2673
"中条","1526位",2672
"永尾","1527位",2670
"熊崎","1528位",2663
"隅田","1529位",2659
"石毛","1529位",2659
"戸村","1531位",2653
"石神","1532位",2652
"鳥山","1532位",2652
"増淵","1534位",2651
"白田","1535位",2649
"角野","1536位",2645
"草間","1536位",2645
"真壁","1538位",2641
"箕輪","1538位",2641
"白岩","1540位",2639
"速水","1541位",2637
"鷲尾","1542位",2634
"赤嶺","1543位",2632
"柳本","1544位",2631
"日比","1545位",2630
"西出","1546位",2627
"久松","1547位",2625
"北林","1548位",2622
"村野","1549位",2617
"新倉","1550位",2614
"糸井","1551位",2613
"品田","1552位",2611
"山際","1553位",2610
"深津","1554位",2609
"白浜","1555位",2605
"高桑","1556位",2598
"若狭","1556位",2598
"仁科","1558位",2595
"本庄","1559位",2590
"稲川","1560位",2588
"嶋崎","1560位",2588
"尾田","1562位",2587
"峯","1562位",2587
"里見","1564位",2583
"木元","1565位",2576
"飯尾","1566位",2574
"大道","1567位",2572
"上坂","1568位",2569
"阿南","1569位",2567
"福村","1570位",2563
"矢内","1570位",2563
"宮永","1572位",2558
"杉江","1573位",2557
"東条","1573位",2557
"赤池","1575位",2556
"一色","1576位",2552
"江島","1577位",2543
"小木曽","1578位",2542
"沢野","1578位",2542
"能登","1578位",2542
"野々村","1581位",2541
"早野","1582位",2539
"一瀬","1583位",2536
"大浜","1583位",2536
"水沢","1585位",2535
"大月","1586位",2532
"中元","1586位",2532
"正田","1588位",2530
"桝田","1589位",2526
"仙波","1590位",2525
"宮部","1591位",2520
"宮岡","1592位",2519
"立野","1592位",2519
"戸沢","1594位",2518
"谷沢","1595位",2513
"山県","1596位",2511
"堀之内","1597位",2509
"香月","1598位",2507
"宮前","1599位",2506
"菅田","1599位",2506
"井野","1601位",2502
"羽賀","1602位",2498
"中瀬","1602位",2498
"古家","1604位",2496
"岩上","1605位",2494
"河島","1606位",2490
"上川","1606位",2490
"国吉","1608位",2488
"鳥井","1609位",2486
"勝野","1610位",2483
"伊賀","1611位",2481
"嶋","1612位",2480
"水戸","1613位",2479
"迫","1614位",2478
"間宮","1615位",2474
"古瀬","1616位",2473
"赤川","1617位",2467
"木場","1618位",2466
"岸川","1619位",2463
"阪田","1619位",2463
"浦上","1621位",2462
"桐生","1621位",2462
"野瀬","1621位",2462
"柳谷","1624位",2461
"中橋","1624位",2461
"斎木","1624位",2461
"田部","1627位",2460
"逸見","1628位",2459
"中垣","1628位",2459
"松倉","1630位",2456
"山室","1631位",2454
"白土","1632位",2453
"門馬","1633位",2450
"諸岡","1634位",2449
"山木","1635位",2448
"安保","1636位",2446
"小柴","1637位",2445
"溝上","1638位",2442
"勝部","1638位",2442
"永沢","1640位",2441
"檜山","1640位",2441
"柘","1642位",2437
"岩尾","1643位",2436
"立山","1643位",2436
"新妻","1645位",2435
"北尾","1646位",2431
"小野塚","1647位",2430
"別所","1648位",2429
"榎","1649位",2428
"戸川","1650位",2427
"津島","1651位",2421
"田野","1652位",2420
"石森","1653位",2419
"石谷","1654位",2417
"栗栖","1655位",2415
"丹治","1656位",2413
"竹野","1657位",2411
"楠田","1658位",2409
"内川","1659位",2407
"山添","1660位",2406
"金光","1661位",2405
"大串","1661位",2405
"三角","1663位",2401
"永谷","1664位",2400
"深山","1664位",2400
"笹井","1666位",2399
"碓井","1667位",2397
"猪野","1667位",2397
"笹木","1669位",2395
"笠松","1670位",2387
"島野","1670位",2387
"柏崎","1672位",2386
"椎葉","1673位",2385
"池原","1674位",2382
"中澤","1675位",2380
"津川","1676位",2378
"桜木","1677位",2377
"二見","1677位",2377
"桑山","1679位",2376
"山名","1680位",2374
"木暮","1681位",2370
"山之内","1682位",2369
"四方","1682位",2369
"小黒","1684位",2366
"岡安","1685位",2364
"宮井","1686位",2361
"柏","1687位",2360
"大垣","1688位",2357
"君島","1689位",2355
"羽生","1690位",2353
"奥井","1691位",2351
"深瀬","1691位",2351
"杉岡","1693位",2350
"柚木","1694位",2348
"伊丹","1695位",2346
"青田","1695位",2346
"遊佐","1697位",2343
"猪瀬","1698位",2340
"梅崎","1699位",2335
"広井","1700位",2334
"引地","1700位",2334
"真島","1702位",2333
"杉森","1703位",2332
"小牧","1704位",2325
"八代","1704位",2325
"向","1706位",2324
"高浜","1706位",2324
"菱沼","1708位",2322
"廣瀬","1709位",2320
"北本","1710位",2319
"折原","1711位",2316
"二木","1712位",2315
"亀岡","1713位",2312
"津久井","1713位",2312
"川久保","1715位",2311
"浜村","1715位",2311
"室田","1717位",2309
"浜島","1717位",2309
"肥後","1719位",2308
"中畑","1720位",2307
"峰","1721位",2306
"谷崎","1722位",2304
"山辺","1723位",2303
"神林","1724位",2301
"西嶋","1725位",2298
"橋場","1726位",2297
"清川","1727位",2296
"樋渡","1727位",2296
"石島","1729位",2295
"藤平","1730位",2290
"梶本","1731位",2283
"兵藤","1732位",2282
"小河","1733位",2280
"藤永","1733位",2280
"桑名","1735位",2277
"手嶋","1736位",2275
"野津","1736位",2275
"根津","1738位",2274
"船田","1739位",2273
"諸橋","1740位",2272
"安里","1741位",2271
"浅岡","1742位",2270
"伊波","1743位",2268
"能勢","1743位",2268
"東谷","1745位",2265
"穂積","1746位",2262
"津野","1747位",2258
"板東","1747位",2258
"青井","1749位",2256
"藤代","1750位",2255
"宇都","1750位",2255
"中津","1752位",2254
"嵯峨","1753位",2249
"木崎","1753位",2249
"所","1755位",2248
"小早川","1755位",2248
"新野","1757位",2247
"浦山","1758位",2246
"朝比奈","1759位",2244
"松藤","1760位",2243
"岡元","1761位",2239
"土方","1762位",2238
"森沢","1763位",2237
"吉住","1764位",2236
"大町","1764位",2236
"原野","1766位",2234
"中上","1767位",2232
"田宮","1768位",2231
"春名","1769位",2228
"泉田","1770位",2226
"喜田","1771位",2224
"佐瀬","1772位",2223
"池沢","1773位",2222
"真木","1774位",2220
"李","1774位",2220
"東郷","1776位",2219
"大黒","1776位",2219
"今津","1778位",2218
"平出","1779位",2217
"中屋","1780位",2215
"堀本","1780位",2215
"嶋村","1782位",2214
"寺門","1783位",2212
"寺嶋","1784位",2208
"中居","1785位",2207
"武市","1785位",2207
"吉富","1787位",2206
"櫻井","1788位",2204
"和気","1789位",2203
"高","1790位",2202
"竹森","1791位",2201
"森内","1792位",2198
"門間","1792位",2198
"坂巻","1794位",2197
"仲川","1795位",2195
"綾部","1796位",2193
"奥平","1796位",2193
"杉","1796位",2193
"駒田","1799位",2192
"増本","1800位",2190
"田頭","1801位",2188
"宮口","1801位",2188
"高良","1803位",2187
"仁木","1804位",2185
"沖本","1805位",2184
"木野","1806位",2183
"粟野","1807位",2181
"加地","1808位",2180
"森元","1809位",2178
"日吉","1810位",2176
"倉島","1811位",2175
"道下","1812位",2173
"井内","1813位",2171
"栄","1813位",2171
"関戸","1813位",2171
"助川","1813位",2171
"西内","1813位",2171
"露木","1813位",2171
"古本","1819位",2170
"小野沢","1820位",2165
"木幡","1821位",2163
"荒田","1822位",2162
"陶山","1822位",2162
"折田","1824位",2161
"奥本","1825位",2160
